index,cadmium,copper,lead,zinc,elev,dist,om,ffreq,soil,lime,dist.m,part.a,part.b,SW_occurrence,AHN,LGN5,x,y
0,11.7,85.0,299.0,1022.0,7.909,0.00135803,13.6,1.0,1.0,1.0,50.0,1.0,0.0,24.0,3214.0,2.0,181060.0,333620.0
1,8.6,81.0,277.0,1141.0,6.983,0.0122243,14.0,1.0,1.0,1.0,30.0,1.0,0.0,0.0,3402.0,6.0,181020.0,333540.0
2,6.5,68.0,199.0,640.0,7.8,0.103029,13.0,1.0,1.0,1.0,150.0,1.0,0.0,0.0,3277.0,6.0,181180.0,333540.0
3,2.6,81.0,116.0,257.0,7.655,0.190094,8.0,1.0,2.0,0.0,270.0,1.0,0.0,0.0,3563.0,1.0,181300.0,333500.0
4,2.8,48.0,117.0,269.0,7.48,0.27709,8.7,1.0,2.0,0.0,380.0,1.0,0.0,0.0,3406.0,6.0,181300.0,333340.0
5,3.0,61.0,137.0,281.0,7.791,0.364067,7.8,1.0,2.0,0.0,470.0,1.0,0.0,0.0,3355.0,6.0,181380.0,333260.0
6,3.2,31.0,132.0,346.0,8.217,0.190094,9.2,1.0,2.0,0.0,240.0,1.0,0.0,0.0,3428.0,2.0,181180.0,333380.0
7,2.8,29.0,150.0,406.0,8.49,0.0921516,9.5,1.0,1.0,0.0,120.0,1.0,0.0,0.0,3476.0,5.0,181020.0,333380.0
8,2.4,37.0,133.0,347.0,8.668,0.184614,10.6,1.0,1.0,0.0,240.0,1.0,0.0,0.0,3522.0,4.0,181060.0,333220.0
9,1.6,24.0,80.0,183.0,9.049,0.309702,6.3,1.0,2.0,0.0,420.0,1.0,0.0,0.0,3525.0,9.0,181220.0,333180.0
10,1.4,25.0,86.0,189.0,9.015,0.315116,6.4,1.0,2.0,0.0,400.0,1.0,0.0,0.0,3557.0,9.0,181180.0,333100.0
11,1.8,25.0,97.0,251.0,9.073,0.228123,9.0,1.0,1.0,0.0,300.0,1.0,0.0,0.0,3545.0,4.0,181020.0,333020.0
12,11.2,93.0,285.0,1096.0,7.32,0.0,15.4,1.0,1.0,1.0,20.0,1.0,0.0,0.0,3076.0,16.0,180860.0,333340.0
13,2.5,31.0,183.0,504.0,8.815,0.113932,8.4,1.0,1.0,0.0,130.0,1.0,0.0,0.0,3542.0,4.0,180980.0,333260.0
14,2.0,27.0,130.0,326.0,8.937,0.168336,9.1,1.0,1.0,0.0,220.0,1.0,0.0,0.0,3546.0,4.0,181020.0,333180.0
