,part.a,part.b,dist,soil,ffreq,SW_occurrence,AHN,LGN5,x,y
0,1,0,0.0,1,1,13,3168.0,16,181180,333740
1,1,0,0.0,1,1,0,3292.0,16,181140,333700
2,1,0,0.0122243,1,1,0,3318.0,1,181180,333700
3,1,0,0.0434678,1,1,0,3372.0,1,181220,333700
4,1,0,0.0,1,1,25,3187.0,6,181100,333660
5,1,0,0.0122243,1,1,0,3406.0,6,181140,333660
6,1,0,0.0373395,1,1,0,3332.0,1,181180,333660
7,1,0,0.0593662,1,1,0,3367.0,1,181220,333660
8,1,0,0.00135803,1,1,24,3214.0,2,181060,333620
9,1,0,0.0122243,1,1,0,3392.0,6,181100,333620
10,1,0,0.0373395,1,1,0,3394.0,6,181140,333620
11,1,0,0.0593662,1,1,0,3345.0,1,181180,333620
12,1,0,0.0812247,1,1,0,3405.0,1,181220,333620
13,1,0,0.101178,1,1,0,3855.0,1,181260,333620
14,1,0,0.0,1,1,26,3305.0,16,181020,333580
15,1,0,0.0122243,1,1,0,3416.0,2,181060,333580
16,1,0,0.0484855,1,1,0,3418.0,6,181100,333580
17,1,0,0.0593662,1,1,0,3386.0,6,181140,333580
18,1,0,0.0812247,1,1,0,3359.0,6,181180,333580
19,1,0,0.103029,1,1,0,3298.0,1,181220,333580
20,1,0,0.12481,2,1,0,3724.0,1,181260,333580
21,1,0,0.152165,2,1,0,3879.0,1,181300,333580
22,1,0,0.0,1,1,59,3215.0,5,180980,333540
23,1,0,0.0122243,1,1,0,3402.0,6,181020,333540
24,1,0,0.0373395,1,1,0,3446.0,2,181060,333540
25,1,0,0.0593662,1,1,0,3427.0,2,181100,333540
26,1,0,0.0921488,1,1,0,3409.0,6,181140,333540
27,1,0,0.103029,1,1,0,3277.0,6,181180,333540
28,1,0,0.12481,1,1,0,3335.0,6,181220,333540
29,1,0,0.146578,2,1,0,3360.0,1,181260,333540
30,1,0,0.166504,2,1,0,3817.0,1,181300,333540
31,1,0,0.0,1,1,50,2995.0,16,180940,333500
32,1,0,0.0122243,1,1,17,3364.0,5,180980,333500
33,1,0,0.0373395,1,1,0,3451.0,5,181020,333500
34,1,0,0.0593662,1,1,0,3454.0,6,181060,333500
35,1,0,0.0812247,1,1,0,3439.0,2,181100,333500
36,1,0,0.103029,1,1,0,3355.0,2,181140,333500
37,1,0,0.135698,1,1,0,3359.0,6,181180,333500
38,1,0,0.146578,1,1,0,3379.0,6,181220,333500
39,1,0,0.168339,2,1,0,3348.0,1,181260,333500
40,1,0,0.190094,2,1,0,3563.0,1,181300,333500
41,1,0,0.206375,2,1,0,3598.0,1,181340,333500
42,1,0,0.00135803,1,1,0,3210.0,16,180940,333460
43,1,0,0.0316663,1,1,0,3449.0,5,180980,333460
44,1,0,0.0593636,1,1,0,3473.0,5,181020,333460
45,1,0,0.0812247,1,1,0,3454.0,6,181060,333460
46,1,0,0.103029,1,1,0,3404.0,2,181100,333460
47,1,0,0.12481,1,1,0,3407.0,2,181140,333460
48,1,0,0.146578,1,1,0,3417.0,6,181180,333460
49,1,0,0.179213,2,1,0,3387.0,6,181220,333460
50,1,0,0.190094,2,1,0,3362.0,6,181260,333460
51,1,0,0.211846,2,1,0,3379.0,1,181300,333460
52,1,0,0.233596,2,1,0,3654.0,1,181340,333460
53,1,0,0.0,1,1,16,3224.0,16,180900,333420
54,1,0,0.0122243,1,1,0,3375.0,4,180940,333420
55,1,0,0.0484884,1,1,0,3479.0,5,180980,333420
56,1,0,0.0756869,1,1,0,3481.0,5,181020,333420
57,1,0,0.103027,1,1,0,3438.0,5,181060,333420
58,1,0,0.12481,2,1,0,3437.0,6,181100,333420
59,1,0,0.146578,2,1,0,3453.0,2,181140,333420
60,1,0,0.168339,2,1,0,3424.0,2,181180,333420
61,1,0,0.190094,2,1,0,3395.0,6,181220,333420
62,1,0,0.222715,2,1,0,3379.0,6,181260,333420
63,1,0,0.233596,2,1,0,3383.0,6,181300,333420
64,1,0,0.255343,2,1,0,3375.0,6,181340,333420
65,1,0,0.275265,2,1,0,4103.0,18,181380,333420
67,1,0,0.0054321,1,1,0,3258.0,4,180900,333380
68,1,0,0.0373369,1,1,0,3470.0,4,180940,333380
69,1,0,0.0593662,1,1,0,3504.0,4,180980,333380
70,1,0,0.0921516,1,1,0,3476.0,5,181020,333380
71,1,0,0.119308,1,1,0,3469.0,5,181060,333380
72,1,0,0.146576,2,1,0,3466.0,6,181100,333380
73,1,0,0.168339,2,1,0,3443.0,6,181140,333380
74,1,0,0.190094,2,1,0,3428.0,2,181180,333380
75,1,0,0.211846,2,1,0,3399.0,6,181220,333380
76,1,0,0.233596,2,1,0,3366.0,6,181260,333380
77,1,0,0.266209,2,1,0,3380.0,6,181300,333380
78,1,0,0.27709,2,1,0,3367.0,6,181340,333380
79,1,0,0.298835,2,1,0,3707.0,18,181380,333380
80,1,0,0.326079,2,1,0,4713.0,18,181420,333380
81,1,0,0.0,1,1,0,3076.0,16,180860,333340
82,1,0,0.0264645,1,1,0,3446.0,4,180900,333340
83,1,0,0.0537889,1,1,0,3538.0,4,180940,333340
84,1,0,0.081222,1,1,0,3507.0,4,180980,333340
85,1,0,0.103029,1,1,0,3484.0,4,181020,333340
86,1,0,0.1357,1,1,0,3502.0,5,181060,333340
87,1,0,0.162853,2,1,0,3477.0,5,181100,333340
88,1,0,0.190091,2,1,0,3459.0,6,181140,333340
89,1,0,0.211846,2,1,0,3455.0,2,181180,333340
90,1,0,0.233596,2,1,0,3346.0,6,181220,333340
